127.0.0.1 - - [11/Jul/2025:10:15:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2025:10:15:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [11/Jul/2025:10:15:52 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:10:15:52 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [11/Jul/2025:10:15:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [11/Jul/2025:10:16:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14921
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:25 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:39 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:43 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:59 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:02:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:03:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [11/Jul/2025:11:03:07 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:41:06 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:41:18 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:41:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14417
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14545
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:05 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14417
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:08 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:13 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:16 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:16 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15208
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:29 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14485
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:51 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:42:51 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:20 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:21 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:41 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14285
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:45 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14328
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:45 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:56 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14285
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:47:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:48:00 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14328
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:48:00 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:48:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14328
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:48:44 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:48:57 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14285
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14465
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:09 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:20 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:33 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [11/Jul/2025:12:49:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
