127.0.0.1 - - [04/Aug/2025:10:12:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:15:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:15:05 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:15:05 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:15:05 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:15:12 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:15:57 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:07 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14517
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:46 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:50 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14466
0:0:0:0:0:0:0:1 - - [04/Aug/2025:10:42:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Aug/2025:11:37:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14572
0:0:0:0:0:0:0:1 - - [04/Aug/2025:11:37:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Aug/2025:11:52:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14466
0:0:0:0:0:0:0:1 - - [04/Aug/2025:11:52:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14572
0:0:0:0:0:0:0:1 - - [04/Aug/2025:11:54:55 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 135
